comunidad,tamano,pais_dominante,pct_pais_dominante,pct_bots,interpretacion
5,16,mexico,68.8,6.2,Comunidad de medios/cobertura global (conecta varios países)
1,16,usa,68.8,6.2,Comunidad de medios/cobertura global (conecta varios países)
2,15,canada,80.0,6.7,Comunidad dominada por canada
6,13,canada,46.2,7.7,Comunidad dominada por canada
3,9,mexico,88.9,0.0,Comunidad dominada por mexico
7,9,usa,55.6,0.0,Comunidad dominada por usa
0,8,mexico,100.0,0.0,Comunidad dominada por mexico
4,8,mexico,25.0,12.5,Comunidad dominada por mexico
